model,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
CatBoost,0.6873035557661271,0.010711902177142749,0.6554516620161437,0.006352747419771344,0.5891482972050553,0.010935174538653225,0.7390242476220179,0.014650318568817341
LightGBM,0.6814443615879002,0.01000054377546796,0.6620246612049752,0.006862427512455817,0.5898987023386457,0.0074622342529382215,0.7548317034594907,0.02159779886696033
XGBoost,0.6806573410374023,0.013056260631370461,0.6186174854002863,0.006607187013168134,0.5859175351979324,0.009408016011674838,0.6554913568421288,0.0133926420668346
LogisticRegression,0.66282310566137,0.011907692655192299,0.7083037309411849,0.006372135500833494,0.5745348657498288,0.004808110396581803,0.9235400748479652,0.018335505556328114
RandomForest,0.6620998262356679,0.010986197914312795,0.6036710479795426,0.006607841189942827,0.5780212838531886,0.00775898271369807,0.6318950346394601,0.011892752608707547
SVC,0.656779768429811,0.015691780102509257,0.7106735483606045,0.008870457263208162,0.5747458169926858,0.006995737395250902,0.9308700519034996,0.01417694017285677
